#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68688,2.94692,3.21406
1.68688,2.61174,2.48319
1.68688,2.44967,2.83954
1.68688,2.33549,3.09407
1.68688,2.19921,2.88681
1.68688,2.04083,2.8759
1.68688,2.00031,3.02862
1.68688,1.89718,2.95589
1.68688,1.8493,2.75954
1.68688,1.84193,1.10144
1.68688,1.92296,0.261488
1.68688,2.27288,1.06145
1.68688,2.46441,0.737827
1.68688,2.57122,0.428752
1.68688,2.69646,0.661467
1.68688,2.8622,0.665103
1.68688,2.9064,0.505112
1.68688,2.97639,0.585108
1.68688,3.02058,0.781461
1.68688,3.03532,2.44319
1.68688,2.92482,3.18861
1.68688,2.59701,2.48319
1.68688,2.46441,2.84317
1.68688,2.32813,3.07589
1.68688,2.20289,2.88681
1.68688,2.04083,2.88681
1.68688,2.00768,3.02862
1.68688,1.90823,2.95589
1.68688,1.86403,2.77772
1.68688,1.82352,1.09417
1.68688,1.94138,0.265124
1.68688,2.26919,1.07236
1.68688,2.47546,0.741463
1.68688,2.57859,0.425116
1.68688,2.69646,0.643286
1.68688,2.85484,0.672376
1.68688,2.89167,0.501476
1.68688,2.97639,0.563291
1.68688,3.00953,0.803278
1.68688,3.039,2.43956
1.68688,2.93587,3.20315
1.68688,2.58964,2.50501
1.68688,2.43862,2.85044
1.68688,2.33918,3.08316
1.68688,2.19553,2.88681
1.68688,2.03715,2.87953
1.68688,1.98926,3.03225
1.68688,1.8935,2.95589
1.68688,1.84193,2.77772
1.68688,1.8272,1.07963
1.68688,1.92296,0.257852
1.68688,2.28393,1.07599
1.68688,2.46441,0.756008
1.68688,2.56386,0.425116
1.68688,2.70382,0.654195
1.68688,2.84747,0.665103
1.68688,2.8843,0.519656
